Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2	Status	NB
,				OFF	
как	как	CONJ		ON	
Я	я	SPRO	1p,nom,sg	OFF	pro&num
скорблю	скорбеть	V	1p,pres,sg	ON	
.				OFF	
Я	я	SPRO	1p,nom,sg	OFF	pro&num
заставил	заставить	V	m,past,sg	ON	
ее	она	SPRO	3p,acc,f,sg	OFF	pro&num
повторить	повторить	V	inf	ON	
задание	задание	S	acc,n,sg	ON	
.				OFF	
Тут	тут	ADV		OFF	pro&num
на	на	PR		ON	
кухню	кухня	S	acc,f,sg	ON	
явилась	явиться	V	f,past,sg	ON	
Майка	Майка	S	f,nom,sg	ON	
.				OFF	
--				OFF	
А	а	CONJ		ON	
вы	вы	SPRO	2p,nom,pl	OFF	pro&num
разбудите	разбудить	V	2p,pl,pres	ON	
нас	мы	SPRO	1p,acc,pl	OFF	pro&num
,				OFF	
если	если	CONJ		ON	
новый	новый	A	m,nom,sg	ON	
цыпленок	цыпленок	S	m,nom,sg	ON	
выведется	вывестись	V	3p,pres,sg	ON	
?				OFF	
Но	но	CONJ		ON	
на	на	PR		OFF	ADV_COMPLEX
этот	этот	APRO	acc,m,sg	OFF	ADV_COMPLEX
раз	раз	S	acc,m,sg	OFF	ADV_COMPLEX
его	он	SPRO	3p,gen,m,sg	OFF	pro&num
совсем	совсем	ADV		ON	
не	не	ADV		ON	
было	быть	V	n,past,sg	ON	
.				OFF	
--				OFF	
Тартасов	Тартасов	S	m,nom,sg	ON	
хитрец	хитрец	S	m,nom,sg	ON	
.				OFF	
Как	как	CONJ		ON	
все	весь	APRO	nom,pl	OFF	pro&num
писатели	писатель	S	m,nom,pl	ON	
...				OFF	
Таков	таков	APRO	m,nom,sg	OFF	#
их	их	APRO		OFF	pro&num
удел	удел	S	m,nom,sg	ON	
.				OFF	
Стояли	стоять	V	past,pl	ON	
в	в	PR		ON	
кружок	кружок	S	acc,m,sg	ON	
и	и	CONJ		ON	
				OFF	
по-честному	по-честному	ADV		ON	
рассуждали	рассуждать	V	past,pl	ON	
.				OFF	
Небо	небо	S	n,nom,sg	ON	
,				OFF	
в	в	PR		ON	
которое	который	APRO	acc,n,sg	OFF	pro&num
можно	можно	ADV		ON	
глядеть	глядеть	V	inf	ON	
...				OFF	
Задрав	задрать	V	ger,past	ON	
голову	голова	S	acc,f,sg	ON	
...				OFF	
Идти	идти	V	inf	ON	
и	и	CONJ		ON	
думать	думать	V	inf	ON	
о	о	PR		ON	
синеве	синева	S	f,loc,sg	ON	
.				OFF	
Внеконфессиональное	внеконфессиональный	A	n,nom,sg	ON	
государство	государство	S	n,nom,sg	ON	
представляет	представлять	V	3p,pres,sg	ON	
собой	себя	SPRO	acc	OFF	pro&num
государство	государство	S	acc,n,sg	ON	
,				OFF	
которое	который	APRO	n,nom,sg	OFF	pro&num
сознательно	сознательно	ADV		ON	
отстраняет	отстранять	V	3p,pres,sg	ON	
себя	себя	SPRO	acc	OFF	pro&num
от	от	PR		ON	
всего	все	SPRO	gen	OFF	pro&num
,				OFF	
что	что	SPRO	nom	OFF	pro&num
происходит	происходить	V	3p,pres,sg	ON	
в	в	PR		ON	
лоне	лоно	S	loc,n,sg	ON	
религии	религия	S	f,gen,sg	ON	
,				OFF	
позволяя	позволять	V	ger,pres	ON	
решать	решать	V	inf	ON	
эти	этот	APRO	acc,pl	OFF	pro&num
вопросы	вопрос	S	acc,m,pl	ON	
гражданскому	гражданский	A	dat,n,sg	ON	
обществу	общество	S	dat,n,sg	ON	
.				OFF	
Неуведомление	неуведомление	S	n,nom,sg	ON	
или	или	CONJ		ON	
несвоевременное	несвоевременный	A	n,nom,sg	ON	
уведомление	уведомление	S	n,nom,sg	ON	
об	об	PR		ON	
указанных	указать	V	loc,partcp,pass,past,pl	ON	
обстоятельствах	обстоятельство	S	loc,n,pl	ON	
лишает	лишать	V	3p,pres,sg	ON	
Стороны	сторона	S	acc,f,pl	ON	
права	право	S	gen,n,sg	ON	
ссылаться	ссылаться	V	inf	ON	
на	на	PR		ON	
любые	любой	APRO	acc,pl	OFF	pro&num
из	из	PR		ON	
этих	этот	APRO	gen,pl	OFF	pro&num
обстоятельств	обстоятельство	S	gen,n,pl	ON	
и	и	CONJ		ON	
не	не	ADV		ON	
освобождает	освобождать	V	3p,pres,sg	ON	
от	от	PR		ON	
ответственности	ответственность	S	f,gen,sg	ON	
по	по	PR		ON	
настоящему	настоящий	A	dat,m,sg	ON	
Договору	договор	S	dat,m,sg	ON	
.				OFF	
Президиум	президиум	S	m,nom,sg	ON	
Высшего	Высший	A	gen,m,sg	ON	
Арбитражного	Арбитражный	A	gen,m,sg	ON	
Суда	Суд	S	gen,m,sg	ON	
РФ	РФ	S	f,gen,sg	ON	
в	в	PR		ON	
информационном	информационный	A	loc,n,sg	ON	
письме	письмо	S	loc,n,sg	ON	
от	от	PR		ON	
29				OFF	
сентября	сентябрь	S	gen,m,sg	ON	
1999				OFF	
г	год	S	gen,m,sg	OFF	abbrev
.				OFF	
№				OFF	
48				OFF	
"				OFF	
О	о	PR		ON	
некоторых	некоторый	APRO	loc,pl	OFF	pro&num
вопросах	вопрос	S	loc,m,pl	ON	
судебной	судебный	A	f,gen,sg	ON	
практики	практика	S	f,gen,sg	ON	
,				OFF	
возникающих	возникать	V	act,loc,partcp,pl,pres	ON	
при	при	PR		ON	
рассмотрении	рассмотрение	S	loc,n,sg	ON	
споров	спор	S	gen,m,pl	ON	
,				OFF	
связанных	связать	V	loc,partcp,pass,past,pl	ON	#
с	с	PR		ON	
договорами	договор	S	ins,m,pl	ON	
на	на	PR		ON	
оказание	оказание	S	acc,n,sg	ON	
правовых	правовой	A	gen,pl	ON	
услуг	услуга	S	f,gen,pl	ON	
",				OFF	
отметил	отметить	V	m,past,sg	ON	
,				OFF	
что	что	CONJ		ON	
не	не	ADV		ON	
подлежат	подлежать	V	3p,pl,pres	ON	
удовлетворению	удовлетворение	S	dat,n,sg	ON	
требования	требование	S	gen,n,sg	ON	
исполнителя	исполнитель	S	gen,m,sg	ON	
о	о	PR		ON	
выплате	выплата	S	f,loc,sg	ON	
вознаграждения	вознаграждение	S	gen,n,sg	ON	
,				OFF	
если	если	CONJ		ON	
истец	истец	S	m,nom,sg	ON	
обосновывает	обосновывать	V	3p,pres,sg	ON	
их	они	SPRO	3p,acc,pl	OFF	pro&num
условием	условие	S	ins,n,sg	ON	
договора	договор	S	gen,m,sg	ON	
,				OFF	
ставящим	ставить	V	act,ins,n,partcp,pres,sg	ON	
размер	размер	S	acc,m,sg	ON	
оплаты	оплата	S	f,gen,sg	ON	
услуг	услуга	S	f,gen,pl	ON	
в	в	PR		ON	
зависимость	зависимость	S	acc,f,sg	ON	
от	от	PR		ON	
решения	решение	S	gen,n,sg	ON	
суда	суд	S	gen,m,sg	ON	
или	или	CONJ		ON	
государственного	государственный	A	gen,m,sg	ON	
органа	орган	S	gen,m,sg	ON	
,				OFF	
которое	который	APRO	n,nom,sg	OFF	pro&num
будет	быть	V	3p,pres,sg	ON	
принято	принять	V	brev,n,nom,partcp,pass,past,sg	ON	
в	в	PR		OFF	ADV_COMPLEX
будущем	будущее	S	loc,n,sg	OFF	ADV_COMPLEX
.				OFF	
После	после	PR		ON	
произнесения	произнесение	S	gen,n,sg	ON	
речей	речь	S	f,gen,pl	ON	
всеми	весь	APRO	ins,pl	OFF	pro&num
лицами	лицо	S	ins,n,pl	ON	
,				OFF	
участвующими	участвовать	V	act,ins,partcp,pl,pres	ON	
в	в	PR		ON	
деле	дело	S	loc,n,sg	ON	
,				OFF	
их	их	APRO		OFF	pro&num
представителями	представитель	S	ins,m,pl	ON	
они	они	SPRO		OFF	pro&num
могут	мочь	V	3p,pl,pres	ON	
выступить	выступить	V	inf	ON	
с	с	PR		ON	
репликами	реплика	S	f,ins,pl	ON	
в	в	PR		OFF	PR_COMPLEX
связи	связь	S	f,loc,sg	OFF	PR_COMPLEX
со	со	PR		OFF	PR_COMPLEX
сказанным	сказать	V	loc,n,partcp,pass,past,sg	ON	
.				OFF	
Протокол	протокол	S	m,nom,sg	ON	
судебного	судебный	A	gen,n,sg	ON	
заседания	заседание	S	gen,n,sg	ON	
или	или	CONJ		ON	
совершенного	совершить	V	gen,n,partcp,pass,past,sg	ON	#
вне	вне	PR		ON	
судебного	судебный	A	gen,n,sg	ON	
заседания	заседание	S	gen,n,sg	ON	
отдельного	отдельный	A	gen,n,sg	ON	
процессуального	процессуальный	A	gen,n,sg	ON	
действия	действие	S	gen,n,sg	ON	
должен	должен	ADV		ON	
отражать	отражать	V	inf	ON	
все	весь	APRO	acc,pl	OFF	pro&num
существенные	существенный	A	acc,pl	ON	
сведения	сведение	S	acc,n,pl	ON	
о	о	PR		ON	
разбирательстве	разбирательство	S	loc,n,sg	ON	
дела	дело	S	gen,n,sg	ON	
или	или	CONJ		ON	
совершении	совершение	S	loc,n,sg	ON	
отдельного	отдельный	A	gen,n,sg	ON	
процессуального	процессуальный	A	gen,n,sg	ON	
действия	действие	S	gen,n,sg	ON	
.				OFF	
Лицо	лицо	S	n,nom,sg	ON	
,				OFF	
представляющее	представлять	V	act,n,nom,partcp,pres,sg	ON	
аудио-	аудиозапись	S	acc,f,pl	ON	
и	и	CONJ		ON	
(				OFF	
или	или	CONJ		ON	
)				OFF	
видеозаписи	видеозапись	S	acc,f,pl	ON	
на	на	PR		ON	
электронном	электронный	A	loc,m,sg	ON	
или	или	CONJ		ON	
ином	иной	APRO	loc,m,sg	OFF	#
носителе	носитель	S	loc,m,sg	ON	
либо	либо	CONJ		ON	
ходатайствующее	ходатайствовать	V	act,n,nom,partcp,pres,sg	ON	
об	об	PR		ON	
их	их	APRO		OFF	pro&num
истребовании	истребование	S	loc,n,sg	ON	
,				OFF	
обязано	обязанный	A	brev,n,sg	ON	#
указать	указать	V	inf	ON	
,				OFF	
когда	когда	ADV		OFF	pro&num
,				OFF	
кем	кто	SPRO	ins	OFF	pro&num
и	и	CONJ		ON	
в	в	PR		ON	
каких	какой	APRO	loc,pl	OFF	pro&num
условиях	условие	S	loc,n,pl	ON	
осуществлялись	осуществляться	V	past,pl	ON	
записи	запись	S	f,nom,pl	ON	#
.				OFF	
Решения	решение	S	n,nom,pl	ON	
нижестоящей	нижестоящий	A	f,gen,sg	ON	
комиссии	комиссия	S	f,gen,sg	ON	
по	по	PR		ON	
проведению	проведение	S	dat,n,sg	ON	
референдума	референдум	S	gen,m,sg	ON	
Российской	Российский	A	f,gen,sg	ON	
Федерации	Федерация	S	f,gen,sg	ON	
могут	мочь	V	3p,pl,pres	ON	
быть	быть	V	inf	ON	
отменены	отменить	V	brev,partcp,pass,past,pl	ON	
,				OFF	
а	а	CONJ		ON	
ее	ее	APRO		OFF	pro&num
действия	действие	S	n,nom,pl	ON	
могут	мочь	V	3p,pl,pres	ON	
быть	быть	V	inf	ON	
приостановлены	приостановить	V	brev,partcp,pass,past,pl	ON	
вышестоящей	вышестоящий	A	f,ins,sg	ON	
комиссией	комиссия	S	f,ins,sg	ON	
по	по	PR		ON	
проведению	проведение	S	dat,n,sg	ON	
референдума	референдум	S	gen,m,sg	ON	
Российской	Российский	A	f,gen,sg	ON	
Федерации	Федерация	S	f,gen,sg	ON	
.				OFF	
Решение	решение	S	n,nom,sg	ON	
,				OFF	
принятое	принять	V	n,nom,partcp,pass,past,sg	ON	
на	на	PR		ON	
референдуме	референдум	S	loc,m,sg	ON	
Российской	Российский	A	f,gen,sg	ON	
Федерации	Федерация	S	f,gen,sg	ON	
,				OFF	
является	являться	V	3p,pres,sg	ON	
общеобязательным	общеобязательный	A	ins,n,sg	ON	
и	и	CONJ		ON	
не	не	ADV		ON	
нуждается	нуждаться	V	3p,pres,sg	ON	
в	в	PR		ON	
дополнительном	дополнительный	A	loc,n,sg	ON	
утверждении	утверждение	S	loc,n,sg	ON	
.				OFF	
Статья	статья	S	f,nom,sg	ON	
86.3.3.				OFF	
Обособленные	обособить	V	nom,partcp,pass,past,pl	ON	
водные	водный	A	nom,pl	ON	
объекты	объект	S	m,nom,pl	ON	
,				OFF	
находящиеся	находиться	V	act,nom,partcp,pl,pres	ON	
в	в	PR		ON	
собственности	собственность	S	f,loc,sg	ON	
граждан	гражданин	S	gen,m,pl	ON	
или	или	CONJ		ON	
юридических	юридический	A	gen,pl	ON	
лиц	лицо	S	gen,n,pl	ON	
,				OFF	
в	в	PR		ON	
установленном	установить	V	loc,m,partcp,pass,past,sg	ON	
порядке	порядок	S	loc,m,sg	ON	
могут	мочь	V	3p,pl,pres	ON	
использоваться	использоваться	V	inf	ON	
как	как	CONJ		ON	
водные	водный	A	nom,pl	ON	
объекты	объект	S	m,nom,pl	ON	
общего	общий	A	gen,n,sg	ON	
пользования	пользование	S	gen,n,sg	ON	
только	только	ADV		ON	
при	при	PR		ON	
условиях	условие	S	loc,n,pl	ON	
регистрации	регистрация	S	f,gen,sg	ON	
данного	данный	A	gen,n,sg	OFF	
ограничения	ограничение	S	gen,n,sg	ON	
права	право	S	gen,n,sg	ON	
собственности	собственность	S	f,gen,sg	ON	
на	на	PR		ON	
обособленные	обособить	V	acc,partcp,pass,past,pl	ON	
водные	водный	A	acc,pl	ON	
объекты	объект	S	acc,m,pl	ON	
в	в	PR		ON	
едином	единый	A	loc,m,sg	ON	
государственном	государственный	A	loc,m,sg	ON	
реестре	реестр	S	loc,m,sg	ON	
и	и	CONJ		ON	
выплаты	выплата	S	f,gen,sg	ON	
вознаграждения	вознаграждение	S	gen,n,sg	ON	
собственнику	собственник	S	dat,m,sg	ON	
.				OFF	
Государственный	государственный	A	m,nom,sg	ON	
мониторинг	мониторинг	S	m,nom,sg	ON	
водных	водный	A	gen,pl	ON	
объектов	объект	S	gen,m,pl	ON	
ведется	вестись	V	3p,pres,sg	ON	
специально	специально	ADV		ON	
уполномоченным	уполномочить	V	ins,m,partcp,pass,past,sg	ON	
государственным	государственный	A	ins,m,sg	ON	
органом	орган	S	ins,m,sg	ON	
управления	управление	S	gen,n,sg	ON	
использованием	использование	S	ins,n,sg	ON	
и	и	CONJ		ON	
охраной	охрана	S	f,ins,sg	ON	
водного	водный	A	gen,m,sg	ON	
фонда	фонд	S	gen,m,sg	ON	
совместно	совместно	ADV		ON	
со	со	PR		ON	
специально	специально	ADV		ON	
уполномоченными	уполномочить	V	ins,partcp,pass,past,pl	ON	
государственными	государственный	A	ins,pl	ON	
органами	орган	S	ins,m,pl	ON	
в	в	PR		ON	
области	область	S	f,loc,sg	ON	
охраны	охрана	S	f,gen,sg	ON	
окружающей	окружающий	A	f,gen,sg	ON	#
природной	природный	A	f,gen,sg	ON	
среды	среда	S	f,gen,sg	ON	
,				OFF	
с	с	PR		ON	
государственным	государственный	A	ins,m,sg	ON	
органом	орган	S	ins,m,sg	ON	
управления	управление	S	gen,n,sg	ON	#
в	в	PR		ON	
области	область	S	f,loc,sg	ON	
гидрометеорологии	гидрометеорология	S	f,gen,sg	ON	
и	и	CONJ		ON	
мониторинга	мониторинг	S	gen,m,sg	ON	
окружающей	окружающий	A	f,gen,sg	ON	#
среды	среда	S	f,gen,sg	ON	
(				OFF	
по	по	PR		ON	
поверхностным	поверхностный	A	dat,pl	ON	
водным	водный	A	dat,pl	ON	
объектам	объект	S	dat,m,pl	ON	
)				OFF	
и	и	CONJ		ON	
государственным	государственный	A	ins,m,sg	ON	
органом	орган	S	ins,m,sg	ON	
управления	управление	S	gen,n,sg	ON	#
использованием	использование	S	ins,n,sg	ON	#
и	и	CONJ		ON	
охраной	охрана	S	f,ins,sg	ON	
недр	недра	S	gen,pl	ON	
(				OFF	
по	по	PR		ON	
подземным	подземный	A	dat,pl	ON	
водным	водный	A	dat,pl	ON	
объектам	объект	S	dat,m,pl	ON	
).				OFF	
Фиктивное	фиктивный	A	n,nom,sg	ON	
или	или	CONJ		ON	
преднамеренное	преднамеренный	A	n,nom,sg	ON	
банкротство	банкротство	S	n,nom,sg	ON	
Осуществление	осуществление	S	n,nom,sg	ON	
дисквалифицированным	дисквалифицировать	V	ins,n,partcp,pass,past,sg	ON	#
лицом	лицо	S	ins,n,sg	ON	
в	в	PR		OFF	PR_COMPLEX
течение	течение	S	acc,n,sg	OFF	PR_COMPLEX
срока	срок	S	gen,m,sg	ON	
дисквалификации	дисквалификация	S	f,gen,sg	ON	
деятельности	деятельность	S	f,gen,sg	ON	
по	по	PR		ON	
управлению	управление	S	dat,n,sg	ON	
юридическим	юридический	A	ins,n,sg	ON	
лицом	лицо	S	ins,n,sg	ON	
--				OFF	
влечет	влечь	V	3p,pres,sg	ON	
наложение	наложение	S	acc,n,sg	ON	
административного	административный	A	gen,m,sg	ON	
штрафа	штраф	S	gen,m,sg	ON	
в	в	PR		ON	
размере	размер	S	loc,m,sg	ON	
пятидесяти	пятьдесят	NUM	gen	OFF	pro&num
минимальных	минимальный	A	gen,pl	ON	
размеров	размер	S	gen,m,pl	ON	
оплаты	оплата	S	f,gen,sg	ON	
труда	труд	S	gen,m,sg	ON	
.				OFF	
В	в	PR		ON	
ИСПАНИИ	Испания	S	f,loc,sg	ON	
Я	я	SPRO	1p,nom,sg	OFF	pro&num
ДУМАЮ	думать	V	1p,pres,sg	ON	
У	у	PR		ON	
УНИКАХИ	Уникаха	S	f,gen,sg	ON	
,				OFF	
ТАУ	Тау	S	gen,m,sg	ON	
И	и	CONJ		ON	
БАРСЫ	Барса	S	f,gen,sg	ON	
ШАНСЫ	шанс	S	m,nom,pl	ON	
ОДИНАКОВЫЕ	одинаковый	A	nom,pl	ON	
-				OFF	
НО	но	CONJ		ON	
СТАВЛЮ	ставить	V	1p,pres,sg	ON	
НА	на	PR		ON	
УНИКАХУ	Уникаха	S	acc,f,sg	ON	
-				OFF	
БРАУН	Браун	S	m,nom,sg	ON	
ВПЕРЁД	вперед	ADV		ON	ё
!				OFF	
!!				OFF	
Чувство	чувство	S	n,nom,sg	ON	
ностальгии	ностальгия	S	f,gen,sg	ON	
охватило	охватить	V	n,past,sg	ON	
с	с	PR		ON	
особенной	особенный	A	f,ins,sg	ON	
силой	сила	S	f,ins,sg	ON	
.				OFF	
..				OFF	
скачал	скачать	V	m,past,sg	ON	
эмулятор	эмулятор	S	acc,m,sg	ON	
Денди	Денди	S	gen,m,sg	ON	
и	и	CONJ		ON	
пяток	пяток	S	acc,m,sg	ON	
диснеевских	диснеевский	A	gen,pl	ON	
игр	игра	S	f,gen,pl	ON	
.				OFF	
..				OFF	
Плачу	плакать	V	1p,pres,sg	ON	
от	от	PR		ON	
умиления	умиление	S	gen,n,sg	ON	
.				OFF	
СКАЖИ	сказать	V	2p,imper,sg	ON	
НАРКОТИКАМ	наркотик	S	dat,m,pl	ON	
НЕТ	нет	ADV		ON	
Скажи	сказать	V	2p,imper,sg	ON	
наркотикам	наркотик	S	dat,m,pl	ON	
:				OFF	
«				OFF	
Трям	трям	ADV		ON	
!				OFF	
"				OFF	
Скажи	сказать	V	2p,imper,sg	ON	
наркотикам	наркотик	S	dat,m,pl	ON	
:				OFF	
«				OFF	
Чпок	чпок	ADV		ON	
!				OFF	
"				OFF	
Своди	сводить	V	2p,imper,sg	ON	
наркотики	наркотик	S	acc,m,pl	ON	
в	в	PR		ON	
цирк	цирк	S	acc,m,sg	ON	
.				OFF	
Муж	муж	S	m,nom,sg	ON	
работает	работать	V	3p,pres,sg	ON	
на	на	PR		ON	
дому	дом	S	loc,m,sg	ON	
(				OFF	
программер	программер	S	m,nom,sg	ON	
),				OFF	
часто	часто	ADV		ON	
выезжает	выезжать	V	3p,pres,sg	ON	
по	по	PR		ON	
делам	дело	S	dat,n,pl	ON	
или	или	CONJ		ON	
просто	просто	ADV		ON	
потусить	потусить	V	inf	ON	
.				OFF	
"				OFF	
Прежде	прежде	ADV		ON	
мы	мы	SPRO	1p,nom,pl	OFF	pro&num
оперировали	оперировать	V	past,pl	ON	
категориями	категория	S	f,ins,pl	ON	
товаров	товар	S	gen,m,pl	ON	
,				OFF	
которые	который	APRO	acc,m,pl	OFF	pro&num
необходимо	необходимо	ADV		ON	
продвигать	продвигать	V	inf	ON	
.				OFF	
Теперь	теперь	ADV		ON	
стремимся	стремиться	V	1p,pl,pres	ON	
оперировать	оперировать	V	inf	ON	
финансовыми	финансовый	A	ins,pl	ON	
показателями	показатель	S	ins,m,pl	ON	
,				OFF	
чтобы	чтобы	CONJ		ON	
лучше	хорошо	ADV	comp	ON	
видеть	видеть	V	inf	ON	
выгодность	выгодность	S	acc,f,sg	ON	
и	и	CONJ		ON	
перспективность	перспективность	S	acc,f,sg	ON	
того	тот	APRO	gen,n,sg	OFF	pro&num
или	или	CONJ		ON	
иного	иной	APRO	gen,n,sg	OFF	pro&num
направления	направление	S	gen,n,sg	ON	
.				OFF	
Мы	мы	SPRO	1p,nom,pl	OFF	pro&num
уже	уже	ADV		ON	
выяснили	выяснить	V	past,pl	ON	
,				OFF	
что	что	CONJ		ON	
некоторые	некоторый	APRO	n,nom,pl	OFF	pro&num
из	из	PR		ON	
них	они	SPRO	3p,gen,pl	OFF	pro&num
не	не	ADV		ON	
настолько	настолько	ADV		ON	
выгодны	выгодный	A	brev,nom,pl	ON	#
,				OFF	
как	как	CONJ		ON	
казалось	казаться	V	n,past,sg	ON	
раньше	раньше	ADV		ON	
"				OFF	
,				OFF	
пояснил	пояснить	V	m,past,sg	ON	
Краснов	Краснов	S	m,nom,sg	ON	
новую	новый	A	acc,f,sg	ON	
стратегию	стратегия	S	acc,f,sg	ON	
.				OFF	
Какими	какой	APRO	f,ins,pl	OFF	pro&num
вы	вы	SPRO	2p,nom,pl	OFF	pro&num
видите	видеть	V	2p,pl,pres	ON	
свои	свой	APRO	f,nom,pl	OFF	pro&num
перспективы	перспектива	S	f,nom,pl	ON	
в	в	PR		ON	
этой	этот	APRO	f,loc,sg	OFF	pro&num
области	область	S	f,loc,sg	ON	
?				OFF	
В	в	PR		ON	
двух	два	NUM	f,loc	OFF	pro&num
72				OFF	
-				OFF	
часовых	часовой	A	loc,pl	ON	
сессиях	сессия	S	f,loc,pl	ON	
InnovationJam				OFF	
,				OFF	
проведенных	провести	V	loc,partcp,pass,past,pl	ON	
по	по	PR		ON	
Internet				OFF	
,				OFF	
приняло	принять	V	n,past,sg	ON	
участие	участие	S	acc,n,sg	ON	
около	около	PR		ON	
105				OFF	
тыс	тыс	S	gen	OFF	abbrev
.				OFF	
человек	человек	S	gen,m,pl	ON	
из	из	PR		ON	
104				OFF	
стран	страна	S	f,gen,pl	ON	
,				OFF	
в	в	PR		OFF	ADV_COMPLEX
том	тот	APRO	loc,n,sg	OFF	ADV_COMPLEX
числе	число	S	loc,n,sg	OFF	ADV_COMPLEX
служащие	служащий	S	m,nom,pl	ON	
IBM				OFF	
,				OFF	
члены	член	S	m,nom,pl	ON	
их	их	APRO		OFF	pro&num
семей	семья	S	f,gen,pl	ON	
,				OFF	
а	а	CONJ		OFF	CONJ_COMPLEX
также	также	ADV		OFF	CONJ_COMPLEX
сотрудники	сотрудник	S	m,nom,pl	ON	
университетов	университет	S	gen,m,pl	ON	
,				OFF	
клиенты	клиент	S	m,nom,pl	ON	
корпорации	корпорация	S	f,gen,sg	ON	
и	и	CONJ		ON	
ее	ее	APRO		OFF	pro&num
бизнес-партнеры	бизнес-партнер	S	m,nom,pl	ON	ё
.				OFF	
Особые	особый	A	nom,pl	ON	
экономические	экономический	A	nom,pl	ON	
зоны	зона	S	f,nom,pl	ON	
-				OFF	
новый	новый	A	m,nom,sg	ON	
механизм	механизм	S	m,nom,sg	ON	
государственно-частного	государственно-частный	A	gen,n,sg	ON	
партнерства	партнерство	S	gen,n,sg	ON	
.				OFF	
Заставить	заставить	V	inf	ON	
все	весь	APRO	acc,n,sg	OFF	pro&num
это	это	SPRO	acc,n,sg	OFF	pro&num
работать	работать	V	inf	ON	
на	на	PR		ON	
медном	медный	A	loc,m,sg	ON	
кабеле	кабель	S	loc,m,sg	ON	
окажется	оказаться	V	3p,pres,sg	ON	
еще	еще	ADV		ON	
труднее	трудно	ADV		ON	#
,				OFF	
чем	чем	CONJ		ON	
раньше	раньше	ADV		ON	
,				OFF	
но	но	CONJ		OFF	CONJ_COMPLEX
и	и	CONJ		OFF	CONJ_COMPLEX
говорить	говорить	V	inf	ON	
о	о	PR		ON	
невозможности	невозможность	S	f,loc,sg	ON	
получения	получение	S	gen,n,sg	ON	
подобных	подобный	A	gen,pl	ON	
решений	решение	S	gen,n,pl	ON	
пока	пока	ADV		ON	
преждевременно	преждевременно	ADV		ON	
,				OFF	
поскольку	поскольку	CONJ		ON	
технологии	технология	S	f,nom,pl	ON	
совершенствуются	совершенствоваться	V	3p,pl,pres	ON	
непрерывно	непрерывно	ADV		ON	
.				OFF	
Вследствие	вследствие	PR		ON	
своей	свой	APRO	f,gen,sg	OFF	pro&num
важности	важность	S	f,gen,sg	ON	
деятельность	деятельность	S	f,nom,sg	ON	
метрополитена	метрополитен	S	gen,m,sg	ON	
жестко	жестко	ADV		ON	
регламентирована	регламентировать	V	f,nom,partcp,pass,past,sg	ON	
российским	российский	A	ins,n,sg	ON	#
законодательством	законодательство	S	ins,n,sg	ON	
.				OFF	
Она	она	SPRO	3p,f,nom,sg	OFF	pro&num
была	быть	V	f,past,sg	ON	
представлена	представить	V	f,nom,partcp,pass,past,sg	ON	
как	как	CONJ		ON	
оптимальное	оптимальный	A	acc,n,sg	ON	
решение	решение	S	n,acc,sg	ON	
для	для	PR		ON	
небольших	небольшой	A	gen,pl	ON	
центров	центр	S	gen,m,pl	ON	
обработки	обработка	S	f,gen,sg	ON	
данных	данные	S	gen,pl	ON	
либо	либо	CONJ		ON	
как	как	CONJ		ON	
дополнение	дополнение	S	acc,n,sg	ON	
к	к	PR		ON	
уже	уже	ADV		ON	
существующей	существовать	V	act,dat,f,partcp,pres,sg	ON	
системе	система	S	dat,f,sg	ON	
охлаждения	охлаждение	S	gen,n,sg	ON	
,				OFF	
не	не	ADV		ON	
изменяющее	изменять	V	acc,act,n,partcp,pres,sg	ON	
инфраструктуру	инфраструктура	S	acc,f,sg	ON	
.				OFF	
По	по	PR		OFF	PR_COMPLEX
словам	слово	S	dat,n,pl	OFF	PR_COMPLEX
Кеоуэна	Кеоуэн	S	gen,m,sg	ON	
,				OFF	
производители	производитель	S	m,nom,pl	ON	
начнут	начать	V	3p,pl,pres	ON	
продавать	продавать	V	inf	ON	
телевизоры	телевизор	S	acc,m,pl	ON	
и	и	CONJ		ON	
телекоммуникационные	телекоммуникационный	A	acc,pl	ON	
устройства	устройство	S	acc,n,pl	ON	
с	с	PR		ON	
поддержкой	поддержка	S	f,ins,sg	ON	
технологии	технология	S	f,gen,sg	ON	
UWB				OFF	
уже	уже	ADV		ON	
в	в	PR		ON	
текущем	текущий	A	loc,m,sg	ON	
году	год	S	loc,m,sg	ON	
.				OFF	
При	при	PR		ON	
этом	это	SPRO	loc,n,sg	OFF	pro&num
мы	мы	SPRO	1p,nom,pl	OFF	pro&num
-				OFF	
глобальная	глобальный	A	f,nom,sg	ON	
компания	компания	S	f,nom,sg	ON	
со	со	PR		ON	
штаб-квартирой	штаб-квартира	S	f,ins,sg	ON	
в	в	PR		ON	
США	США	S	loc,m,pl	ON	
.				OFF	
На	на	PR		ON	
глобальном	глобальный	A	loc,m,sg	ON	
уровне	уровень	S	loc,m,sg	ON	
HP				OFF	
блестяще	блестяще	ADV		ON	
справляется	справляться	V	3p,pres,sg	ON	
со	со	PR		ON	
снижением	снижение	S	ins,m,sg	ON	
операционных	операционный	A	gen,pl	ON	
расходов	расход	S	gen,m,pl	ON	
:				OFF	
на	на	PR		ON	
ИТ	ИТ	S	acc,f,pl	ON	
,				OFF	
помещения	помещение	S	acc,n,pl	ON	
,				OFF	
управление	управление	S	acc,n,sg	ON	
.				OFF	
